"Model";"Batterysize";"Range..avg...388.km.";"Consumption"
"Polestar 3 Performance";"102";460;222
"Polestar 3 Rear Motor";"88";440;200
"Polestar 4 Long Range Dual Motor";"94";485;194
"Polestar 4 Long Range Single Motor";"94";495;190
"Polestar 5 Dual Motor";"106";580;183
"Polestar 5 Performance";"106";530;200
"Porsche Cayenne Electric";"108";520;208
"Porsche Cayenne S Electric";"108";515;210
"Porsche Cayenne Turbo Electric";"108";495;218
"Porsche Macan 4 Electric";"94.9";470;202
"Porsche Macan 4S Electric";"94.9";470;202
"Porsche Macan Electric";"94.9";495;192
"Porsche Macan GTS Electric";"94.9";465;204
"Porsche Macan Turbo Electric";"94.9";465;204
"Porsche Taycan";"82.3";495;166
"Porsche Taycan 4";"82.3";490;168
"Porsche Taycan 4 Cross Turismo";"97";510;190
"Porsche Taycan 4 Plus";"97";565;172
"Porsche Taycan 4S";"82.3";490;168
"Porsche Taycan 4S Cross Turismo";"97";510;190
"Porsche Taycan 4S Plus";"97";565;172
"Porsche Taycan 4S Plus Sport Turismo";"97";510;190
"Porsche Taycan 4S Sport Turismo";"82.3";440;187
"Porsche Taycan GTS";"97";535;181
"Porsche Taycan GTS Sport Turismo";"97";505;192
"Porsche Taycan Plus";"97";575;169
"Porsche Taycan Plus Sport Turismo";"97";530;183
"Porsche Taycan Sport Turismo";"82.3";460;179
"Porsche Taycan Turbo";"97";535;181
"Porsche Taycan Turbo Cross Turismo";"97";495;196
"Porsche Taycan Turbo GT";"97";475;204
"Porsche Taycan Turbo GT Weissach";"97";475;204
"Porsche Taycan Turbo S";"97";525;185
"Porsche Taycan Turbo S Cross Turismo";"97";485;200
"Porsche Taycan Turbo S Sport Turismo";"97";505;192
"Porsche Taycan Turbo Sport Turismo";"97";505;192
"Renault 4 E-Tech 40kWh 120hp";"40";245;163
"Renault 4 E-Tech 52kWh 150hp";"52";315;165
"Renault 5 E-Tech 40kWh 120hp";"40";260;154
"Renault 5 E-Tech 40kWh 95hp";"40";260;154
"Renault 5 E-Tech 52kWh 150hp";"52";335;155
"Renault Megane E-Tech EV60 220hp";"60";380;158
"Renault Scenic E-Tech EV60 170hp";"60";340;176
"Renault Scenic E-Tech EV87 220hp";"87";480;181
"Renault Twingo E-Tech 27.5 kWh";"27.5";185;149
"Rolls-Royce Spectre";"102";465;219
"Škoda Elroq 50";"52";310;168
"Škoda Elroq 60";"59";350;169
"Škoda Elroq 85";"77";450;171
"Škoda Elroq 85x";"77";445;173
"Škoda Elroq RS";"79";455;174
"Škoda Enyaq 60";"59";360;164
"Škoda Enyaq 85";"77";455;169
"Škoda Enyaq 85x";"77";455;169
"Škoda Enyaq 85x";"77";450;169
"Škoda Enyaq Coupe 60";"59";370;159
"Škoda Enyaq Coupe 85";"77";470;164
"Škoda Enyaq Coupe 85x";"77";460;167
"Škoda Enyaq Coupe 85x";"77";460;167
"Škoda Enyaq Coupe RS";"79";470;168
"Škoda Enyaq RS";"79";460;172
"Skywell BE11 Long Range";"81";385;210
"Skywell BE11 Standard Range";"68";325;209
"Smart #1 Brabus";"62";325;191
"Smart #1 Premium";"62";335;185
"Smart #1 Pro";"47";250;188
"Smart #1 Pro+";"62";335;185
"Smart #1 Pulse";"62";325;191
"Smart #1 Pure";"47";250;188
"Smart #1 Pure+";"62";335;185
"Smart #3 Brabus";"62";350;177
"Smart #3 Premium";"62";355;175
"Smart #3 Pro";"47";265;177
"Smart #3 Pro+";"62";355;175
"Smart #5 Brabus";"96";460;209
"Smart #5 Premium";"96";475;202
"Smart #5 Pro";"74.4";370;201
"Smart #5 Pro+";"96";475;202
"Smart #5 Pulse";"96";465;206
"Smart #5 Summit Edition";"96";460;209
"Subaru Solterra AWD";"64";320;200
"Subaru Solterra AWD 73.1 kWh";"69";370;186
"Subaru Uncharted 57.7 kWh";"54";320;169
"Subaru Uncharted 77 kWh";"72";420;171
"Subaru Uncharted 77 kWh AWD";"72";375;192
"Suzuki e VITARA 49 kWh 2WD";"47.8";270;177
"Suzuki e VITARA 61 kWh 2WD";"59.8";330;181
"Suzuki e VITARA 61 kWh 4WD AllGrip";"59.8";310;193
"Tesla Model 3 Performance";"79";515;153
"Tesla Model 3 Premium AWD";"79";555;142
"Tesla Model 3 Premium RWD";"79";580;136
"Tesla Model 3 RWD";"60";445;135
"Tesla Model S AWD";"95";590;161
"Tesla Model S Plaid";"95";565;168
"Tesla Model X AWD";"95";490;194
"Tesla Model X Plaid";"95";475;200
"Tesla Model Y Long Range RWD";"77";490;157
"Tesla Model Y Performance";"79";460;172
"Tesla Model Y Premium AWD";"79";475;166
"Tesla Model Y Premium RWD";"79";470;160
"Tesla Model Y Premium RWD";"79";470;160
"Tesla Model Y Premium RWD";"79";495;160
"Tesla Model Y Premium RWD";"79";495;160
"Tesla Model Y Premium RWD";"75";470;160
"Tesla Model Y Premium RWD";"75";470;160
"Tesla Model Y Premium RWD";"75";495;160
"Tesla Model Y Premium RWD";"75";495;160
"Tesla Model Y RWD";"60";380;158
"TOGG T10F Long Range AWD";"85";465;183
"TOGG T10F Long Range RWD";"85";490;173
"TOGG T10F Standard Range RWD";"50";295;169
"TOGG T10X Long Range AWD";"85";420;202
"TOGG T10X Long Range RWD";"85";435;195
"TOGG T10X Standard Range RWD";"50";265;189
"Toyota bZ4X AWD 73.1 kWh";"69";375;184
"Toyota bZ4X FWD 57.7 kWh";"54";305;177
"Toyota bZ4X FWD 73.1 kWh";"69";385;179
"Toyota bZ4X Touring AWD 74.7 kWh";"71";385;184
"Toyota bZ4X Touring FWD 74.7 kWh";"71";400;178
"Toyota C-HR+ 57.7 kWh";"54";330;164
"Toyota C-HR+ 77 kWh";"72";430;167
"Toyota C-HR+ 77 kWh AWD";"72";385;187
"Toyota Proace City Verso L1 50 kWh";"50";235;213
"Toyota Proace City Verso L2 50 kWh";"50";230;217
"Toyota Proace Verso L 75 kWh";"69";265;260
"Toyota Proace Verso M 50 kWh";"46.3";180;257
"Toyota Proace Verso M 75 kWh";"69";265;260
"Toyota Urban Cruiser 48.8 kWh";"47.8";270;177
"Toyota Urban Cruiser 61.1 kWh";"59.8";330;181
"Toyota Urban Cruiser 61.1 kWh AWD";"59.8";310;193
"VinFast VF 6 Eco";"59.6";315;189
